ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-03-14,153144.65350872115,60726.7662360027,271855.12810037093,153144.65350872115,153144.65350872115,13750.326871361556,13750.326871361556,13750.326871361556,13750.326871361556,13750.326871361556,13750.326871361556,0.0,0.0,0.0,166894.9803800827
2020-03-15,159513.426200375,63739.25234120134,273479.93461957,159513.426200375,159513.426200375,7298.791977851825,7298.791977851825,7298.791977851825,7298.791977851825,7298.791977851825,7298.791977851825,0.0,0.0,0.0,166812.21817822682
2020-03-16,165882.19889202854,59720.06017122867,271343.50836909807,165882.19889202854,165882.19889202854,-2102.755454590395,-2102.755454590395,-2102.755454590395,-2102.755454590395,-2102.755454590395,-2102.755454590395,0.0,0.0,0.0,163779.44343743814
2020-03-17,192751.95814905892,67824.62371877253,286185.88232030877,192751.95814905892,192751.95814905892,-16846.239960723495,-16846.239960723495,-16846.239960723495,-16846.239960723495,-16846.239960723495,-16846.239960723495,0.0,0.0,0.0,175905.71818833542
2020-03-18,219621.71740608907,106008.94650490116,308507.74226249283,219621.71740608907,219621.71740608907,-11063.55830727246,-11063.55830727246,-11063.55830727246,-11063.55830727246,-11063.55830727246,-11063.55830727246,0.0,0.0,0.0,208558.1590988166
2020-03-19,246491.47666311948,135166.49039791303,347552.9069972674,246491.47666311948,246491.47666311948,-1117.5438632953515,-1117.5438632953515,-1117.5438632953515,-1117.5438632953515,-1117.5438632953515,-1117.5438632953515,0.0,0.0,0.0,245373.93279982414
2020-03-20,273361.2359201499,178042.54731857224,391757.2349463829,273361.2359201499,273361.2359201499,10080.978736650115,10080.978736650115,10080.978736650115,10080.978736650115,10080.978736650115,10080.978736650115,0.0,0.0,0.0,283442.21465680003
2020-03-21,300230.99517718004,211665.42277165467,421662.5214256284,300230.99517718004,300230.99517718004,13750.326871364206,13750.326871364206,13750.326871364206,13750.326871364206,13750.326871364206,13750.326871364206,0.0,0.0,0.0,313981.32204854424
2020-03-22,327100.7544342109,227908.3345151808,439303.96009018726,327100.7544342109,327100.7544342109,7298.791977852418,7298.791977852418,7298.791977852418,7298.791977852418,7298.791977852418,7298.791977852418,0.0,0.0,0.0,334399.5464120633
2020-03-23,381071.50089491357,283725.4383578139,486996.05870517157,381071.50089491357,381071.50089491357,-2102.7554546041583,-2102.7554546041583,-2102.7554546041583,-2102.7554546041583,-2102.7554546041583,-2102.7554546041583,0.0,0.0,0.0,378968.7454403094
2020-03-24,435042.2473556158,311579.62568095734,524950.1852481933,435042.2473556158,435042.2473556158,-16846.239960725245,-16846.239960725245,-16846.239960725245,-16846.239960725245,-16846.239960725245,-16846.239960725245,0.0,0.0,0.0,418196.00739489053
2020-03-25,489012.99381631846,374378.4903624593,582820.7737690972,489012.99381631846,489012.99381631846,-11063.558307305617,-11063.558307305617,-11063.558307305617,-11063.558307305617,-11063.558307305617,-11063.558307305617,0.0,0.0,0.0,477949.43550901284
2020-03-26,542983.7402770206,442825.51426503464,650575.5486379178,542983.7402770206,542983.7402770206,-1117.5438632715925,-1117.5438632715925,-1117.5438632715925,-1117.5438632715925,-1117.5438632715925,-1117.5438632715925,0.0,0.0,0.0,541866.196413749
2020-03-27,596954.4867377233,493802.2662688204,715228.7418825283,596954.4867377233,596954.4867377233,10080.978736651947,10080.978736651947,10080.978736651947,10080.978736651947,10080.978736651947,10080.978736651947,0.0,0.0,0.0,607035.4654743753
2020-03-28,650925.233198426,555970.6432320694,769386.6953406736,650925.233198426,650925.233198426,13750.326871354233,13750.326871354233,13750.326871354233,13750.326871354233,13750.326871354233,13750.326871354233,0.0,0.0,0.0,664675.5600697802
2020-03-29,727438.9679394439,631508.1014120334,840889.5326843656,727438.9679394439,727438.9679394439,7298.7919778437035,7298.7919778437035,7298.7919778437035,7298.7919778437035,7298.7919778437035,7298.7919778437035,0.0,0.0,0.0,734737.7599172876
2020-03-30,803952.7026804617,700574.4442256066,905582.9734132644,803952.7026804617,803952.7026804617,-2102.755454617921,-2102.755454617921,-2102.755454617921,-2102.755454617921,-2102.755454617921,-2102.755454617921,0.0,0.0,0.0,801849.9472258438
2020-03-31,880466.4374214795,757626.5432632627,965063.1313616816,880466.4374214795,880466.4374214795,-16846.2399607086,-16846.2399607086,-16846.2399607086,-16846.2399607086,-16846.2399607086,-16846.2399607086,0.0,0.0,0.0,863620.1974607708
2020-04-01,956980.1721624983,836886.0370930235,1053111.6614667426,956980.1721624983,956980.1721624983,-11063.558307300338,-11063.558307300338,-11063.558307300338,-11063.558307300338,-11063.558307300338,-11063.558307300338,0.0,0.0,0.0,945916.613855198
2020-04-02,1033493.9069035171,926277.6849137091,1135385.522035085,1033493.9069035171,1033493.9069035171,-1117.5438632710386,-1117.5438632710386,-1117.5438632710386,-1117.5438632710386,-1117.5438632710386,-1117.5438632710386,0.0,0.0,0.0,1032376.3630402461
2020-04-03,1110007.6416445358,1014614.6529557802,1220909.08710561,1110007.6416445358,1110007.6416445358,10080.978736667224,10080.978736667224,10080.978736667224,10080.978736667224,10080.978736667224,10080.978736667224,0.0,0.0,0.0,1120088.620381203
2020-04-04,1190087.1352773018,1099922.9033807225,1309846.426467679,1190087.1352773018,1190087.1352773018,13750.326871370737,13750.326871370737,13750.326871370737,13750.326871370737,13750.326871370737,13750.326871370737,0.0,0.0,0.0,1203837.4621486724
2020-04-05,1270166.6289100675,1172784.1404703245,1391639.884098301,1270166.6289100675,1270166.6289100675,7298.791977871319,7298.791977871319,7298.791977871319,7298.791977871319,7298.791977871319,7298.791977871319,0.0,0.0,0.0,1277465.4208879387
2020-04-06,1350246.1225428316,1236917.7682349335,1458437.2793247344,1350246.1225428316,1350246.1225428316,-2102.755454623396,-2102.755454623396,-2102.755454623396,-2102.755454623396,-2102.755454623396,-2102.755454623396,0.0,0.0,0.0,1348143.3670882082
2020-04-07,1430325.6161755973,1309315.1915236323,1522874.3620607643,1430325.6161755973,1430325.6161755973,-16846.239960712188,-16846.239960712188,-16846.239960712188,-16846.239960712188,-16846.239960712188,-16846.239960712188,0.0,0.0,0.0,1413479.3762148852
2020-04-08,1510405.1098083614,1385175.146690309,1604196.756744698,1510405.1098083614,1510405.1098083614,-11063.558307287594,-11063.558307287594,-11063.558307287594,-11063.558307287594,-11063.558307287594,-11063.558307287594,0.0,0.0,0.0,1499341.5515010739
2020-04-09,1590628.3164782936,1483993.937897969,1690551.1429184468,1590628.3164782936,1590628.3164782936,-1117.5438632588816,-1117.5438632588816,-1117.5438632588816,-1117.5438632588816,-1117.5438632588816,-1117.5438632588816,0.0,0.0,0.0,1589510.7726150348
2020-04-10,1670851.5231482247,1583614.1408223147,1783649.0188746047,1670851.5231482247,1670851.5231482247,10080.978736682506,10080.978736682506,10080.978736682506,10080.978736682506,10080.978736682506,10080.978736682506,0.0,0.0,0.0,1680932.5018849073
2020-04-11,1751074.729818156,1655359.8759919817,1865999.5634885884,1751074.729818156,1751074.729818156,13750.326871360761,13750.326871360761,13750.326871360761,13750.326871360761,13750.326871360761,13750.326871360761,0.0,0.0,0.0,1764825.0566895166
